raw_id	anima	hexa-lang	airgenome	n6-architecture	hive
raw_109_adversarial_co_evolution_probe	DIRECT	DIRECT	DIRECT	META	META
raw_110_systematic_ablation_causal_core	DIRECT	DIRECT	DIRECT	META	META
raw_111_information_theoretic_budget	DIRECT	META	DIRECT	DIRECT	META
raw_112_categorical_functor_composition	META	DIRECT	NA	DIRECT	META
raw_113_bayesian_evidence_accumulation	DIRECT	META	DIRECT	DIRECT	META
raw_114_bisimulation_behavioral_equivalence	DIRECT	DIRECT	META	DIRECT	META
raw_115_anti_fragility_perturbation_positive	DIRECT	META	DIRECT	META	META
raw_116_energy_landscape_attractor_geometry	DIRECT	NA	NA	DIRECT	NA
raw_117_novelty_counter_example_5check_mandate	META	META	META	META	DIRECT
raw_118_recursive_self_application_fixpoint	META	DIRECT	META	DIRECT	DIRECT
raw_119_temporal_decay_half_life_evidence	DIRECT	META	DIRECT	DIRECT	META
raw_120_counterfactual_causal_twin	DIRECT	META	DIRECT	DIRECT	META
raw_121_reservoir_edge_of_chaos_capacity	DIRECT	NA	NA	DIRECT	NA
raw_122_topological_persistent_homology	DIRECT	META	DIRECT	DIRECT	NA
raw_123_active_information_acquisition	DIRECT	META	DIRECT	META	META
raw_124_distributed_byzantine_consensus_review	META	META	META	DIRECT	DIRECT
raw_125_hierarchical_temporal_abstraction	DIRECT	META	DIRECT	DIRECT	META
raw_126_meta_rule_self_host_stability	META	DIRECT	META	DIRECT	DIRECT
